movies_row,movie_title,book_row,book_title,cosine_sim,label
614,Despicable Me,4031,"Captain Underpants and the Perilous Plot of Professor Poopypants (Captain Underpants, #4)",0.2825341522693634,0
614,Despicable Me,8426,"Vicious (Villains, #1)",0.282206267118454,0
614,Despicable Me,5779,"H.I.V.E. Higher Institute of Villainous Education (H.I.V.E., #1)",0.2821388840675354,0
3659,Farce of the Penguins,2807,Mr. Popper's Penguins,0.3911413550376892,0
3659,Farce of the Penguins,2782,"Simply Irresistible (Chinooks Hockey Team, #1)",0.37979063391685486,0
3659,Farce of the Penguins,2783,"See Jane Score (Chinooks Hockey Team, #2)",0.3539031445980072,0
2841,Stir of Echoes,6896,"Dark Visions (Dark Visions, #1-3)",0.38625001907348633,0
2841,Stir of Echoes,9604,A Head Full of Ghosts,0.36078017950057983,0
2841,Stir of Echoes,1502,Ghost Story,0.36065301299095154,0
2811,The Golden Child,7797,"The Hidden Child (Patrik Hedström, #5)",0.43539226055145264,1
2811,The Golden Child,7784,"The Keeper of Lost Causes (Department Q, #1)",0.41899538040161133,1
2811,The Golden Child,9816,"Orphan X (Orphan X, #1)",0.41063088178634644,1
1307,The Hurricane,7945,Escape from Camp 14: One Man's Remarkable Odyssey from North Korea to Freedom in the West,0.31473639607429504,0
1307,The Hurricane,1021,The Executioner's Song,0.3135526478290558,0
1307,The Hurricane,9812,Killing Reagan: The Violent Assault That Changed a Presidency,0.28535088896751404,0
3663,Christmas Eve,4940,If on a Winter's Night a Traveler,0.38369128108024597,0
3663,Christmas Eve,2605,Last Exit to Brooklyn,0.37640702724456787,0
3663,Christmas Eve,1303,"Tales of the City (Tales of the City, #1)",0.37548136711120605,0
4465,Aqua Teen Hunger Force Colon Movie Film for Theaters,2819,"The Warrior's Apprentice (Vorkosigan Saga, #2)",0.3865853548049927,0
4465,Aqua Teen Hunger Force Colon Movie Film for Theaters,5488,Rumble Fish,0.35511600971221924,0
4465,Aqua Teen Hunger Force Colon Movie Film for Theaters,3494,Split Infinity  (Apprentice Adept #1),0.35288918018341064,0
31,Iron Man 3,3440,The Rape of Nanking,0.27489984035491943,0
31,Iron Man 3,4944,The Manchurian Candidate (Movie Tie-In Edition),0.2670259475708008,0
31,Iron Man 3,6813,The Man from Beijing,0.26499778032302856,0
1225,Mickey Blue Eyes,8031,"The Kingmaker's Daughter (The Plantagenet and Tudor Novels, #4)",0.28105923533439636,0
1225,Mickey Blue Eyes,1488,"Ronia, the Robber's Daughter",0.2781369388103485,0
1225,Mickey Blue Eyes,8528,"The Beggar King (The Hangman's Daughter, #3)",0.25298061966896057,0
4000,Beer League,1539,The Five Dysfunctions of a Team: A Leadership Fable,0.337895929813385,0
4000,Beer League,9933,"The Goal (Off-Campus, #4)",0.30901312828063965,0
4000,Beer League,9848,Evicted: Poverty and Profit in the American City,0.298437237739563,0
2476,White Oleander,6661,After,0.4394221901893616,1
2476,White Oleander,9859,A Mother's Reckoning: Living in the Aftermath of Tragedy,0.43037867546081543,1
2476,White Oleander,8579,Orphan Train,0.4061061143875122,1
2452,House of Sand and Fog,6874,Mornings in Jenin,0.35550016164779663,0
2452,House of Sand and Fog,633,Reading Lolita in Tehran,0.3538500666618347,0
2452,House of Sand and Fog,6334,يوتوبيا,0.3195982575416565,0
4118,It's All Gone Pete Tong,441,Complete Works of Oscar Wilde,0.31247270107269287,0
4118,It's All Gone Pete Tong,3355,The Importance of Being Earnest and Other Plays,0.2864353060722351,0
4118,It's All Gone Pete Tong,442,An Ideal Husband,0.2830842137336731,0
500,2 Fast 2 Furious,5376,"Knots and Crosses (Inspector Rebus, #1)",0.3539074659347534,0
500,2 Fast 2 Furious,7773,"Cross My Heart (Cross My Heart, #1)",0.2599642276763916,0
500,2 Fast 2 Furious,9760,"The Crossing (Harry Bosch, #20; Mickey Haller, #7; Harry Bosch Universe, #25)",0.2589070498943329,0
2231,Strange Wilderness,5114,Miracle in the Andes,0.3930111825466156,0
2231,Strange Wilderness,5020,Alive: The Story of the Andes Survivors,0.35909387469291687,0
2231,Strange Wilderness,4457,Gorillas in the Mist,0.35285913944244385,0
2639,District B13,8210,Ghettoside: A True Story of Murder in America,0.40356510877609253,1
2639,District B13,5189,"Protect and Defend (Mitch Rapp, #10)",0.352954626083374,0
2639,District B13,7780,"Kill Shot (Mitch Rapp, #2)",0.34618568420410156,0
2229,Machete Kills,9141,"No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State",0.3437051773071289,0
2229,Machete Kills,2981,"Ghost Wars: The Secret History of the CIA, Afghanistan, and bin Laden from the Soviet Invasion to September 10, 2001",0.32176852226257324,0
2229,Machete Kills,4947,Flight of the Intruder (Jake Grafton #1),0.28713762760162354,0
3664,We Have Your Husband,3555,The Story of a Shipwrecked Sailor,0.43682849407196045,1
3664,We Have Your Husband,9197,The Book of Unknown Americans,0.41820400953292847,1
3664,We Have Your Husband,332,Marina,0.4107806086540222,1
788,Deadpool,201,The Canterbury Tales,0.2909270226955414,0
788,Deadpool,1727,Season of Mists (The Sandman #4),0.290912389755249,0
788,Deadpool,1064,"Skin Tight (Mick Stranahan, #1)",0.2900253236293793,0
2501,Hachi: A Dog's Tale,7141,"A Dog's Purpose (A Dog's Purpose, #1)",0.39178991317749023,0
2501,Hachi: A Dog's Tale,6928,One Good Dog,0.3884892463684082,0
2501,Hachi: A Dog's Tale,134,The Curious Incident of the Dog in the Night-Time,0.3878669738769531,0
103,The Sorcerer's Apprentice,5523,"The Angel of Darkness (Dr. Laszlo Kreizler, #2)",0.40241891145706177,1
103,The Sorcerer's Apprentice,4494,"Siege of Darkness (Forgotten Realms: Legacy of the Drow, #3; Legend of Drizzt, #9)",0.3806036710739136,0
103,The Sorcerer's Apprentice,404,"Wizard and Glass (The Dark Tower, #4)",0.3791671693325043,0
4485,Escape from Tomorrow,2145,"The Amazing Maurice and His Educated Rodents (Discworld, #28)",0.4001705050468445,1
4485,Escape from Tomorrow,4258,The Complete Adventures of Peter Rabbit,0.39561015367507935,0
4485,Escape from Tomorrow,8556,How to Tell If Your Cat Is Plotting to Kill You,0.39355921745300293,0
3793,Mondays in the Sun,191,Blindness,0.301532506942749,0
3793,Mondays in the Sun,9095,Ripper,0.30056294798851013,0
3793,Mondays in the Sun,230,The Stories of Eva Luna,0.2893402576446533,0
2963,The Last Days on Mars,2859,An Anthropologist on Mars: Seven Paradoxical Tales,0.3402671813964844,0
2963,The Last Days on Mars,7049,Packing for Mars: The Curious Science of Life in the Void,0.31137216091156006,0
2963,The Last Days on Mars,165,Darwin's Dangerous Idea: Evolution and the Meanings of Life,0.30054429173469543,0
658,Death Race,8210,Ghettoside: A True Story of Murder in America,0.36518555879592896,0
658,Death Race,5937,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,0.3506332337856293,0
658,Death Race,2107,"Plum Island (John Corey, #1)",0.3438558578491211,0
943,Firewall,4842,"Eye of the Storm (Sean Dillon, #1)",0.4360039234161377,1
943,Firewall,8619,"Threat Vector (Jack Ryan Universe, #15)",0.4161551594734192,1
